dms,run_id,query_type,query_id,time
sparksee,1,query_cold,1,1
sparksee,1,query_cold,2,1
sparksee,2,query_cold,1,1
sparksee,2,query_cold,2,1
sparksee,1,query_hot,1,0
sparksee,1,query_hot,2,1
sparksee,2,query_hot,1,0
sparksee,2,query_hot,2,1
orient,0,query_cold,1,1
orient,0,query_cold,2,1
orient,1,query_cold,1,1
orient,1,query_cold,2,1
orient,0,query_hot,1,1
orient,0,query_hot,2,1
orient,1,query_hot,1,1
orient,1,query_hot,2,1
neo4j,1,query_cold,1,1
neo4j,1,query_cold,2,2
neo4j,2,query_cold,1,1
neo4j,2,query_cold,2,1
neo4j,1,query_hot,1,0
neo4j,1,query_hot,2,2
neo4j,2,query_hot,1,0
neo4j,2,query_hot,2,0
tinker,1,query_cold,1,0
tinker,1,query_cold,2,0
tinker,2,query_cold,1,0
tinker,2,query_cold,2,0
tinker,1,query_hot,1,1
tinker,1,query_hot,2,0
tinker,2,query_hot,1,1
tinker,2,query_hot,2,1
